time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/loss,train/clip_range,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/value_loss
116736,134,870,57,500.0,500.0,0.003523226,-0.2775299326982349,-0.008754328824579716,0.2,0.045849609375,560,0.0003,-0.0017010615178151057,-3.995400905609131,2.781602029244823e-06
118784,138,860,58,500.0,500.0,0.0036534055,-0.27163035566918553,-0.010490769520401955,0.2,0.027392578125,570,0.0003,-0.001890613848809153,-4.764060974121094,1.535452531413739e-05
120832,142,850,59,500.0,500.0,0.0013508579,-0.25892397509887816,0.00277087464928627,0.2,0.006201171875,580,0.0003,-8.413621253566816e-05,-2.2041029930114746,1.2210200310391884e-06
122880,146,841,60,500.0,500.0,0.0006355719,-0.24032956627197563,0.001792239723727107,0.2,0.010009765625,590,0.0003,-0.00036629928872571326,-2.5456113815307617,1.2837171993851371e-06
124928,150,832,61,500.0,500.0,0.0018739561,-0.2420954022090882,-0.0025105876848101616,0.2,0.023095703125,600,0.0003,-0.001030470067053102,-2.5992043018341064,1.5321713459570673e-05
126976,154,823,62,500.0,500.0,0.0032237428,-0.2526464156806469,-0.011666843667626381,0.2,0.02666015625,610,0.0003,-0.0015388564715976827,-1.8904428482055664,1.2563730194870003e-06
129024,158,814,63,500.0,500.0,0.0030263555,-0.25437294649891556,-0.0007607027655467391,0.2,0.0203125,620,0.0003,0.0005051616826676764,-4.1594953536987305,8.800234610362167e-07
131072,162,805,64,500.0,500.0,0.001704232,-0.2592425528448075,0.0050451019778847694,0.2,0.0169921875,630,0.0003,-0.0008036712832108605,-4.9715094566345215,2.111665363599968e-05
133120,166,797,65,500.0,500.0,0.004079121,-0.24503897940739988,-0.0016280215932056308,0.2,0.03486328125,640,0.0003,-0.0026642705721314996,-2.7552123069763184,6.768264910306244e-07
135168,171,789,66,500.0,500.0,0.005445117,-0.26240841173566876,-0.01109947171062231,0.2,0.042041015625,650,0.0003,-0.0013765560957835986,-5.978084087371826,4.487363526095578e-07
137216,175,780,67,500.0,500.0,0.0069528967,-0.2574363050982356,-0.0071706450544297695,0.2,0.0732421875,660,0.0003,-0.004451123152102809,-2.7508628368377686,1.5454792730906774e-06
139264,180,773,68,500.0,500.0,0.0034143634,-0.2565259973984212,-0.008236592635512352,0.2,0.027294921875,670,0.0003,-0.000650508906255709,-5.697333335876465,5.286572559271008e-07
141312,184,764,69,500.0,500.0,0.002907765,-0.2312038261909038,-0.012615923769772053,0.2,0.018701171875,680,0.0003,-0.002182094544696156,-2.3388943672180176,6.892665737723292e-07
143360,189,756,70,500.0,500.0,0.0022898559,-0.24259415632113815,-0.0027207634411752224,0.2,0.0123046875,690,0.0003,-0.0009137586952419951,-2.3539767265319824,6.364086425492133e-06
145408,194,748,71,500.0,500.0,0.003073962,-0.2710283427499235,-0.003962825518101454,0.2,0.04482421875,700,0.0003,-0.0013362697995034979,-4.524051189422607,4.3224358705629127e-07
147456,199,740,72,500.0,500.0,0.0016381976,-0.26510254591703414,-0.002434978960081935,0.2,0.01796875,710,0.0003,-0.0004215786786517128,-4.997756481170654,1.3401611300878358e-05
149504,203,732,73,500.0,500.0,0.0027659177,-0.27158754603005947,0.014825954101979733,0.2,0.022412109375,720,0.0003,-0.0003637059813627275,-5.402286529541016,1.0345663119437631e-05
151552,208,725,74,500.0,500.0,0.003174299,-0.24013368715532124,-0.0067596472799777985,0.2,0.028759765625,730,0.0003,-0.0005228471214650199,-7.127089500427246,3.60713499958365e-07
153600,214,717,75,500.0,500.0,0.006643519,-0.28326195674017074,0.018688179552555084,0.2,0.062353515625,740,0.0003,-0.0025491990309092216,-4.675753593444824,3.8605774648203807e-07
155648,219,709,76,500.0,500.0,0.0020818887,-0.2580148518551141,-0.0030532144010066986,0.2,0.016357421875,750,0.0003,-0.0008632973447674885,-6.213968276977539,5.307000634502401e-07
