rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/entropy_loss,train/policy_gradient_loss
500.0,763,139264,182,500.0,68,0.0034143634,-0.008236592635512352,0.0003,0.027294921875,670,-5.697333335876465,0.2,5.286572559271008e-07,-0.2565259973984212,-0.000650508906255709
500.0,755,141312,187,500.0,69,0.002907765,-0.012615923769772053,0.0003,0.018701171875,680,-2.3388943672180176,0.2,6.892665737723292e-07,-0.2312038261909038,-0.002182094544696156
500.0,748,143360,191,500.0,70,0.0022898559,-0.0027207634411752224,0.0003,0.0123046875,690,-2.3539767265319824,0.2,6.364086425492133e-06,-0.24259415632113815,-0.0009137586952419951
500.0,741,145408,196,500.0,71,0.003073962,-0.003962825518101454,0.0003,0.04482421875,700,-4.524051189422607,0.2,4.3224358705629127e-07,-0.2710283427499235,-0.0013362697995034979
500.0,733,147456,200,500.0,72,0.0016381976,-0.002434978960081935,0.0003,0.01796875,710,-4.997756481170654,0.2,1.3401611300878358e-05,-0.26510254591703414,-0.0004215786786517128
500.0,726,149504,205,500.0,73,0.0027659177,0.014825954101979733,0.0003,0.022412109375,720,-5.402286529541016,0.2,1.0345663119437631e-05,-0.27158754603005947,-0.0003637059813627275
500.0,720,151552,210,500.0,74,0.003174299,-0.0067596472799777985,0.0003,0.028759765625,730,-7.127089500427246,0.2,3.60713499958365e-07,-0.24013368715532124,-0.0005228471214650199
500.0,713,153600,215,500.0,75,0.006643519,0.018688179552555084,0.0003,0.062353515625,740,-4.675753593444824,0.2,3.8605774648203807e-07,-0.28326195674017074,-0.0025491990309092216
500.0,706,155648,220,500.0,76,0.0020818887,-0.0030532144010066986,0.0003,0.016357421875,750,-6.213968276977539,0.2,5.307000634502401e-07,-0.2580148518551141,-0.0008632973447674885
500.0,700,157696,225,500.0,77,0.0038313072,-0.003862096229568124,0.0003,0.035400390625,760,-8.533584594726562,0.2,6.70626751286818e-06,-0.25490785990841686,-0.0008849121615639888
500.0,694,159744,229,500.0,78,0.0015823036,-0.0023636973928660154,0.0003,0.021240234375,770,-2.140049695968628,0.2,1.0499860556478779e-05,-0.25501757953315973,-0.0008147762375301682
500.0,688,161792,235,500.0,79,0.003932068,0.0018985125934705138,0.0003,0.020458984375,780,-5.763467311859131,0.2,6.476511657638185e-07,-0.27252465593628583,-0.000368069218529854
500.0,682,163840,240,500.0,80,0.0028068023,-0.015403426252305508,0.0003,0.031201171875,790,-2.784287452697754,0.2,5.082192217287229e-07,-0.2554747400805354,-0.0011941154400119558
500.0,676,165888,245,500.0,81,0.001004599,0.0003760530089493841,0.0003,0.030908203125,800,-5.2497878074646,0.2,1.380608783279058e-05,-0.26305556651204826,7.672993815504015e-05
500.0,671,167936,250,500.0,82,0.005726851,0.0032451057340949774,0.0003,0.045556640625,810,-8.098211288452148,0.2,2.8513457550616295e-07,-0.2814030601643026,-0.0030370294873137025
500.0,666,169984,255,500.0,83,0.0043216473,0.016151582822203636,0.0003,0.06005859375,820,-2.5331714153289795,0.2,8.370162490223265e-06,-0.28141044890508055,-0.0009090702355024405
500.0,660,172032,260,500.0,84,0.003224539,0.002419531112536788,0.0003,0.02236328125,830,-2.8560688495635986,0.2,9.090872708839015e-07,-0.27850236580707133,-0.0018623003517859616
500.0,655,174080,265,500.0,85,0.0015888854,0.008494439534842968,0.0003,0.013037109375,840,-3.619251251220703,0.2,3.933918407028614e-07,-0.26356911221519114,2.0799200137844308e-05
500.0,650,176128,270,500.0,86,0.0024777765,0.0015078794676810503,0.0003,0.014501953125,850,-7.210020065307617,0.2,1.026077032406647e-06,-0.27126190033741293,3.543142665876076e-05
500.0,645,178176,276,500.0,87,0.003563441,0.00636038463562727,0.0003,0.021826171875,860,-5.80961275100708,0.2,2.975434632901397e-05,-0.266210830071941,-0.0011086771031841637
500.0,640,180224,281,500.0,88,0.0029256376,-0.005747577641159296,0.0003,0.03466796875,870,-5.303174018859863,0.2,3.359023338589395e-07,-0.26364056980237366,-0.0025398453042726034
