rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range
500.0,871,110592,126,54,500.0,0.00023052361648296938,-0.28323071892373264,530,-1.9588899612426758,0.0005051552434451878,3.702473281919083e-06,0.0003,0.0033522872,0.037890625,0.2
500.0,861,112640,130,55,500.0,-0.0007498944207327441,-0.26863713120110333,540,-3.3494668006896973,0.0008929474279284477,1.464681332663531e-06,0.0003,0.0016412863,0.011279296875,0.2
500.0,851,114688,134,56,500.0,-0.0008240752213168889,-0.2627803192473948,550,-2.617108106613159,-0.0023703572805970907,1.7425749206267937e-06,0.0003,0.002517159,0.018408203125,0.2
500.0,841,116736,138,57,500.0,-0.0017010615178151057,-0.2775299326982349,560,-3.995400905609131,-0.008754328824579716,2.781602029244823e-06,0.0003,0.003523226,0.045849609375,0.2
500.0,832,118784,142,58,500.0,-0.001890613848809153,-0.27163035566918553,570,-4.764060974121094,-0.010490769520401955,1.535452531413739e-05,0.0003,0.0036534055,0.027392578125,0.2
500.0,822,120832,146,59,500.0,-8.413621253566816e-05,-0.25892397509887816,580,-2.2041029930114746,0.00277087464928627,1.2210200310391884e-06,0.0003,0.0013508579,0.006201171875,0.2
500.0,813,122880,150,60,500.0,-0.00036629928872571326,-0.24032956627197563,590,-2.5456113815307617,0.001792239723727107,1.2837171993851371e-06,0.0003,0.0006355719,0.010009765625,0.2
500.0,805,124928,155,61,500.0,-0.001030470067053102,-0.2420954022090882,600,-2.5992043018341064,-0.0025105876848101616,1.5321713459570673e-05,0.0003,0.0018739561,0.023095703125,0.2
500.0,796,126976,159,62,500.0,-0.0015388564715976827,-0.2526464156806469,610,-1.8904428482055664,-0.011666843667626381,1.2563730194870003e-06,0.0003,0.0032237428,0.02666015625,0.2
500.0,788,129024,163,63,500.0,0.0005051616826676764,-0.25437294649891556,620,-4.1594953536987305,-0.0007607027655467391,8.800234610362167e-07,0.0003,0.0030263555,0.0203125,0.2
500.0,780,131072,167,64,500.0,-0.0008036712832108605,-0.2592425528448075,630,-4.9715094566345215,0.0050451019778847694,2.111665363599968e-05,0.0003,0.001704232,0.0169921875,0.2
500.0,772,133120,172,65,500.0,-0.0026642705721314996,-0.24503897940739988,640,-2.7552123069763184,-0.0016280215932056308,6.768264910306244e-07,0.0003,0.004079121,0.03486328125,0.2
500.0,765,135168,176,66,500.0,-0.0013765560957835986,-0.26240841173566876,650,-5.978084087371826,-0.01109947171062231,4.487363526095578e-07,0.0003,0.005445117,0.042041015625,0.2
500.0,758,137216,181,67,500.0,-0.004451123152102809,-0.2574363050982356,660,-2.7508628368377686,-0.0071706450544297695,1.5454792730906774e-06,0.0003,0.0069528967,0.0732421875,0.2
500.0,750,139264,185,68,500.0,-0.000650508906255709,-0.2565259973984212,670,-5.697333335876465,-0.008236592635512352,5.286572559271008e-07,0.0003,0.0034143634,0.027294921875,0.2
500.0,743,141312,190,69,500.0,-0.002182094544696156,-0.2312038261909038,680,-2.3388943672180176,-0.012615923769772053,6.892665737723292e-07,0.0003,0.002907765,0.018701171875,0.2
500.0,736,143360,194,70,500.0,-0.0009137586952419951,-0.24259415632113815,690,-2.3539767265319824,-0.0027207634411752224,6.364086425492133e-06,0.0003,0.0022898559,0.0123046875,0.2
500.0,729,145408,199,71,500.0,-0.0013362697995034979,-0.2710283427499235,700,-4.524051189422607,-0.003962825518101454,4.3224358705629127e-07,0.0003,0.003073962,0.04482421875,0.2
500.0,722,147456,204,72,500.0,-0.0004215786786517128,-0.26510254591703414,710,-4.997756481170654,-0.002434978960081935,1.3401611300878358e-05,0.0003,0.0016381976,0.01796875,0.2
500.0,716,149504,208,73,500.0,-0.0003637059813627275,-0.27158754603005947,720,-5.402286529541016,0.014825954101979733,1.0345663119437631e-05,0.0003,0.0027659177,0.022412109375,0.2
500.0,709,151552,213,74,500.0,-0.0005228471214650199,-0.24013368715532124,730,-7.127089500427246,-0.0067596472799777985,3.60713499958365e-07,0.0003,0.003174299,0.028759765625,0.2
500.0,703,153600,218,75,500.0,-0.0025491990309092216,-0.28326195674017074,740,-4.675753593444824,0.018688179552555084,3.8605774648203807e-07,0.0003,0.006643519,0.062353515625,0.2
500.0,697,155648,223,76,500.0,-0.0008632973447674885,-0.2580148518551141,750,-6.213968276977539,-0.0030532144010066986,5.307000634502401e-07,0.0003,0.0020818887,0.016357421875,0.2
500.0,691,157696,228,77,500.0,-0.0008849121615639888,-0.25490785990841686,760,-8.533584594726562,-0.003862096229568124,6.70626751286818e-06,0.0003,0.0038313072,0.035400390625,0.2
500.0,685,159744,233,78,500.0,-0.0008147762375301682,-0.25501757953315973,770,-2.140049695968628,-0.0023636973928660154,1.0499860556478779e-05,0.0003,0.0015823036,0.021240234375,0.2
500.0,679,161792,238,79,500.0,-0.000368069218529854,-0.27252465593628583,780,-5.763467311859131,0.0018985125934705138,6.476511657638185e-07,0.0003,0.003932068,0.020458984375,0.2
500.0,673,163840,243,80,500.0,-0.0011941154400119558,-0.2554747400805354,790,-2.784287452697754,-0.015403426252305508,5.082192217287229e-07,0.0003,0.0028068023,0.031201171875,0.2
500.0,668,165888,248,81,500.0,7.672993815504015e-05,-0.26305556651204826,800,-5.2497878074646,0.0003760530089493841,1.380608783279058e-05,0.0003,0.001004599,0.030908203125,0.2
500.0,662,167936,253,82,500.0,-0.0030370294873137025,-0.2814030601643026,810,-8.098211288452148,0.0032451057340949774,2.8513457550616295e-07,0.0003,0.005726851,0.045556640625,0.2
500.0,657,169984,258,83,500.0,-0.0009090702355024405,-0.28141044890508055,820,-2.5331714153289795,0.016151582822203636,8.370162490223265e-06,0.0003,0.0043216473,0.06005859375,0.2
500.0,652,172032,263,84,500.0,-0.0018623003517859616,-0.27850236580707133,830,-2.8560688495635986,0.002419531112536788,9.090872708839015e-07,0.0003,0.003224539,0.02236328125,0.2
500.0,647,174080,268,85,500.0,2.0799200137844308e-05,-0.26356911221519114,840,-3.619251251220703,0.008494439534842968,3.933918407028614e-07,0.0003,0.0015888854,0.013037109375,0.2
500.0,642,176128,274,86,500.0,3.543142665876076e-05,-0.27126190033741293,850,-7.210020065307617,0.0015078794676810503,1.026077032406647e-06,0.0003,0.0024777765,0.014501953125,0.2
500.0,637,178176,279,87,500.0,-0.0011086771031841637,-0.266210830071941,860,-5.80961275100708,0.00636038463562727,2.975434632901397e-05,0.0003,0.003563441,0.021826171875,0.2
500.0,632,180224,285,88,500.0,-0.0025398453042726034,-0.26364056980237366,870,-5.303174018859863,-0.005747577641159296,3.359023338589395e-07,0.0003,0.0029256376,0.03466796875,0.2
500.0,627,182272,290,89,500.0,-4.340187006164342e-05,-0.25695398626849053,880,-10.14793872833252,-0.004675219766795635,2.5023483090080846e-07,0.0003,0.0026119547,0.0177734375,0.2
500.0,622,184320,296,90,500.0,0.0010269169772072928,-0.2525922283064574,890,-5.918217658996582,-0.002063889056444168,2.844021310011158e-07,0.0003,0.0016636763,0.011474609375,0.2
500.0,618,186368,301,91,500.0,7.420357724186033e-05,-0.26932456172071395,900,-9.325108528137207,0.004726398270577192,2.8815720440888983e-07,0.0003,0.0044765826,0.031494140625,0.2
500.0,613,188416,307,92,500.0,-0.0001404163813276682,-0.25158870350569484,910,-6.636460781097412,-0.00207874015904963,3.690147983093084e-05,0.0003,0.0014841877,0.011865234375,0.2
500.0,608,190464,312,93,500.0,-0.0032671158318407834,-0.26043722466565666,920,-11.425210952758789,-0.0010756882838904858,1.973784691244873e-07,0.0003,0.005200502,0.05791015625,0.2
500.0,604,192512,318,94,500.0,-0.0002291817290824838,-0.2514381500892341,930,-6.491806983947754,0.0062791514210402966,2.477880201467997e-07,0.0003,0.0014317401,0.012890625,0.2
500.0,599,194560,324,95,500.0,-0.0005228856913163327,-0.2549753872212023,940,-8.764546394348145,-0.004661073908209801,2.8310190032243553e-07,0.0003,0.0035763874,0.03173828125,0.2
500.0,595,196608,330,96,500.0,-0.0002243998518679291,-0.24240133897401392,950,-5.707154750823975,-0.006941735278815031,5.455561165490507e-07,0.0003,0.0015138129,0.019384765625,0.2
