time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/loss
248,500.0,81,667,165888,500.0,1.380608783279058e-05,800,-0.26305556651204826,-5.2497878074646,7.672993815504015e-05,0.030908203125,0.2,0.0003,0.001004599,0.0003760530089493841
253,500.0,82,661,167936,500.0,2.8513457550616295e-07,810,-0.2814030601643026,-8.098211288452148,-0.0030370294873137025,0.045556640625,0.2,0.0003,0.005726851,0.0032451057340949774
259,500.0,83,655,169984,500.0,8.370162490223265e-06,820,-0.28141044890508055,-2.5331714153289795,-0.0009090702355024405,0.06005859375,0.2,0.0003,0.0043216473,0.016151582822203636
264,500.0,84,650,172032,500.0,9.090872708839015e-07,830,-0.27850236580707133,-2.8560688495635986,-0.0018623003517859616,0.02236328125,0.2,0.0003,0.003224539,0.002419531112536788
270,500.0,85,644,174080,500.0,3.933918407028614e-07,840,-0.26356911221519114,-3.619251251220703,2.0799200137844308e-05,0.013037109375,0.2,0.0003,0.0015888854,0.008494439534842968
275,500.0,86,638,176128,500.0,1.026077032406647e-06,850,-0.27126190033741293,-7.210020065307617,3.543142665876076e-05,0.014501953125,0.2,0.0003,0.0024777765,0.0015078794676810503
281,500.0,87,633,178176,500.0,2.975434632901397e-05,860,-0.266210830071941,-5.80961275100708,-0.0011086771031841637,0.021826171875,0.2,0.0003,0.003563441,0.00636038463562727
286,500.0,88,628,180224,500.0,3.359023338589395e-07,870,-0.26364056980237366,-5.303174018859863,-0.0025398453042726034,0.03466796875,0.2,0.0003,0.0029256376,-0.005747577641159296
292,500.0,89,622,182272,500.0,2.5023483090080846e-07,880,-0.25695398626849053,-10.14793872833252,-4.340187006164342e-05,0.0177734375,0.2,0.0003,0.0026119547,-0.004675219766795635
298,500.0,90,618,184320,500.0,2.844021310011158e-07,890,-0.2525922283064574,-5.918217658996582,0.0010269169772072928,0.011474609375,0.2,0.0003,0.0016636763,-0.002063889056444168
304,500.0,91,613,186368,500.0,2.8815720440888983e-07,900,-0.26932456172071395,-9.325108528137207,7.420357724186033e-05,0.031494140625,0.2,0.0003,0.0044765826,0.004726398270577192
309,500.0,92,608,188416,500.0,3.690147983093084e-05,910,-0.25158870350569484,-6.636460781097412,-0.0001404163813276682,0.011865234375,0.2,0.0003,0.0014841877,-0.00207874015904963
315,500.0,93,603,190464,500.0,1.973784691244873e-07,920,-0.26043722466565666,-11.425210952758789,-0.0032671158318407834,0.05791015625,0.2,0.0003,0.005200502,-0.0010756882838904858
